# lattitude, longitude, altitude meters, cumulative distance meters
-13.67575,131.69152,205.3232269,201877.786243
-13.67713,131.69183,204.5380096,202034.847935
-13.67811,131.692,202.6810455,202145.355966
-13.69948,131.69449,192.0021515,204536.77027
-13.7017,131.6949,193.3277435,204787.565233
-13.70439,131.69564,196.7164154,205097.178117
-13.70605,131.69623,197.5362091,205292.456172
-13.7078,131.69697,200.5157928,205502.827844
-13.71039,131.6983,200.7427979,205824.672338
-13.71133,131.69887,200.2651672,205945.984345
-13.71254,131.69966,200.8436127,206105.312845
-13.7147,131.70129,197.5697174,206403.12383
-13.71644,131.70285,194.0,206659.7021
-13.71784,131.70428,193.9611511,206879.010385
-13.72137,131.70837,198.022934,207469.999086
-13.74449,131.73562,204.8510895,211378.066905
-13.74546,131.7367,206.0,211536.941573
-13.74817,131.73994,210.1069031,211998.75423
-13.74997,131.74231,199.3743896,212323.694998
-13.75096,131.74387,197.864151,212524.961076
-13.75142,131.7447,200.712738,212628.173386
-13.75233,131.74654,195.6850586,212851.184544
-13.75312,131.7485,190.3400879,213080.380611
-13.75357,131.74986,189.1761627,213235.558621
-13.75616,131.75965,198.9235229,214331.456521
-13.75693,131.76208,189.677887,214607.522279
-13.75776,131.76427,190.9510345,214861.421049
-13.75829,131.7655,191.1578674,215006.752107
-13.75921,131.76739,187.0799866,215235.079571
-13.76062,131.76991,186.5512543,215549.177764
-13.76189,131.77187,186.3050537,215803.644672
-13.76281,131.77317,185.2336578,215977.363609
-13.76381,131.77445,189.0041046,216154.776625
